127.0.0.1 - - [06/Dec/2017:17:55:59 +0000] "GET / HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:02 +0000] "GET /Crowdf/faces/chargerCas.xhtml HTTP/1.1" 200 5226
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:02 +0000] "GET /Crowdf/faces/javax.faces.resource/jquery/jquery.js;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3?ln=primefaces&v=6.1 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:02 +0000] "GET /Crowdf/faces/javax.faces.resource/components.css;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3?ln=primefaces&v=6.1 HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:02 +0000] "GET /Crowdf/faces/javax.faces.resource/fileupload/fileupload.css;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3?ln=primefaces&v=6.1 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:02 +0000] "GET /Crowdf/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3?ln=primefaces&v=6.1 HTTP/1.1" 200 248533
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:02 +0000] "GET /Crowdf/faces/javax.faces.resource/core.js;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3?ln=primefaces&v=6.1 HTTP/1.1" 200 31198
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:02 +0000] "GET /Crowdf/faces/javax.faces.resource/components.js;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3?ln=primefaces&v=6.1 HTTP/1.1" 200 380560
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:03 +0000] "GET /Crowdf/faces/javax.faces.resource/fileupload/fileupload.js;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3?ln=primefaces&v=6.1 HTTP/1.1" 200 32785
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:56:03 +0000] "GET /Crowdf/faces/RES_NOT_FOUND HTTP/1.1" 500 2985
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:57:03 +0000] "POST /Crowdf/faces/chargerCas.xhtml;jsessionid=BE86BCA09F317D5ADB4A1C62A62E57B3 HTTP/1.1" 200 5125
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:57:03 +0000] "GET /Crowdf/faces/RES_NOT_FOUND HTTP/1.1" 500 2128
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:57:05 +0000] "POST /Crowdf/faces/chargerCas.xhtml HTTP/1.1" 200 5085
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:57:05 +0000] "GET /Crowdf/faces/RES_NOT_FOUND HTTP/1.1" 500 2128
0:0:0:0:0:0:0:1 - - [06/Dec/2017:18:00:33 +0000] "POST /Crowdf/faces/chargerCas.xhtml HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [06/Dec/2017:18:00:34 +0000] "GET /Crowdf/faces/RES_NOT_FOUND HTTP/1.1" 500 2128
0:0:0:0:0:0:0:1 - - [06/Dec/2017:18:00:39 +0000] "POST /Crowdf/faces/chargerCas.xhtml HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [06/Dec/2017:18:00:39 +0000] "GET /Crowdf/faces/RES_NOT_FOUND HTTP/1.1" 500 2128
0:0:0:0:0:0:0:1 - - [06/Dec/2017:18:00:42 +0000] "POST /Crowdf/faces/chargerCas.xhtml HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [06/Dec/2017:18:00:42 +0000] "GET /Crowdf/faces/RES_NOT_FOUND HTTP/1.1" 500 2128
